SteamSpyPlayersEstimate,SteamSpyPlayersEstimate_log,DLCCount_log,PriceFinal_log,PCReqsHaveMin,PriceCurrency,PublisherCountCat,RecommendationCount
144914,11.88390264261972,0.0,3.7133281345162463,1,USD,0,126
144914,11.88390264261972,0.0,3.7133281345162463,1,USD,0,126
17576,9.774346508212899,0.0,1.790091412127358,1,USD,0,0
10761,9.283776690049365,0.0,2.3969857684155302,1,USD,0,0
20805,9.94299668563084,0.0,2.3969857684155302,1,USD,0,0
13631,9.520175249069098,0.0,2.3969857684155302,1,USD,0,0
12554,9.437874271591685,0.0,2.3969857684155302,1,USD,0,0
719909,13.486881483179086,0.0,3.0440461338325413,1,USD,0,4657
33180,10.409732701928009,0.0,2.3969857684155302,1,USD,0,104
19370,9.871532381294577,0.0,2.3969857684155302,1,USD,0,0
925265,13.737836542722501,0.0,0.0,1,missing,0,2218
566386,13.247032869120845,0.0,0.0,1,missing,0,2216
1257241,14.044430990919912,0.0,3.0440461338325413,1,USD,0,3856
838459,13.639322154873767,0.0,2.63834278867739,1,USD,0,2212
506483,13.135248012833323,0.0,2.63834278867739,1,USD,0,1715
286063,12.563970840991601,0.0,1.790091412127358,1,USD,0,266
0,0.0,0.0,2.5641798306825083,1,USD,1,549
15783,9.66675204770245,0.0,2.771963526845863,1,USD,0,153
34256,10.441646202369757,0.0,1.790091412127358,1,USD,0,0
39995,10.59653472809574,0.0,1.790091412127358,1,USD,0,135
54702,10.909673831513109,0.0,1.790091412127358,1,USD,0,223
1188012,13.987792721605798,1.791759469228055,2.3969857684155302,1,USD,0,7873
1188012,13.987792721605798,1.791759469228055,2.3969857684155302,1,USD,0,7873
597234,13.300065949761741,0.0,2.3969857684155302,1,USD,1,3763
799002,13.59111997943473,0.0,2.3969857684155302,1,USD,1,3535
477967,13.077299063625942,0.0,2.3969857684155302,1,USD,1,1433
65642,11.091986247998761,0.0,1.9444805562457188,1,USD,0,370
1919220,14.467429932506949,0.0,2.3969857684155302,1,USD,1,16580
16141,9.689179849884317,0.0,2.3969857684155302,1,USD,0,151
10223,9.232493176617316,0.0,1.9444805562457188,1,USD,1,0
243736,12.403845054104487,0.0,2.3969857684155302,1,USD,0,1232
243736,12.403845054104487,0.0,2.3969857684155302,1,USD,0,1232
97925,11.49196737037875,0.0,1.790091412127358,1,USD,0,846
20446,9.925591451443054,0.0,1.790091412127358,1,USD,0,0
158186,11.971533156476479,0.0,2.138889000323256,1,USD,0,1241
32642,10.393385716619122,0.0,1.790091412127358,1,USD,0,453
16500,9.711176264112805,0.0,1.790091412127358,1,USD,0,161
52191,10.86268450542074,0.0,3.0440461338325413,1,USD,0,397
116577,11.666315855851078,0.0,2.3969857684155302,1,USD,0,737
257187,12.457562613958562,1.3862943611198906,0.0,1,missing,0,1381
11837,9.37906997525067,0.0,2.3969857684155302,1,USD,0,0
53087,10.87970619299017,0.6931471805599453,2.3969857684155302,1,USD,0,333
134153,11.80674367277786,0.0,3.0440461338325413,1,USD,0,1401
27261,10.213249070130788,0.0,1.6074359097634274,1,USD,0,0
215399,12.280252043704426,0.0,1.6074359097634274,1,USD,0,854
101691,11.529703916209046,0.0,1.6074359097634274,1,USD,0,244
207507,12.242925172126563,0.0,1.6074359097634274,1,USD,0,877
174686,12.070751080073434,0.0,1.6074359097634274,1,USD,0,415
345427,12.752539506840474,0.0,2.0781907597781832,1,USD,0,1144
673278,13.41991508438411,0.0,2.301584592660462,1,USD,0,3895
83039,11.327077698399716,0.0,2.0781907597781832,0,USD,0,214
326237,12.695382455333386,0.0,2.0781907597781832,1,USD,0,1049
626468,13.34785457084901,0.0,2.0781907597781832,1,USD,0,3706
165360,12.015886241749072,0.0,2.0781907597781832,1,USD,0,679
197464,12.193316632428973,0.0,2.0781907597781832,1,USD,0,921
12554,9.437874271591685,0.0,1.9444805562457188,1,USD,0,110
95055,11.462221470595523,0.0,3.433664571799657,1,USD,0,633
43403,10.678306881740099,0.0,2.3969857684155302,1,USD,0,212
12016,9.3940775929113,0.0,2.3969857684155302,1,USD,0,0
1076,6.981934677156389,0.0,2.3969857684155302,1,USD,0,0
233693,12.361767846256418,0.0,2.3969857684155302,1,USD,0,1846
559571,13.234927484781819,1.6094379124341003,3.0440461338325413,1,USD,0,3331
36049,10.492662142713096,0.0,2.3969857684155302,1,USD,0,221
230644,12.3486350108841,0.0,2.3969857684155302,1,USD,0,1097
111735,11.623894224985607,0.0,2.3969857684155302,1,USD,0,273
110479,11.612589788083174,0.0,1.790091412127358,1,USD,0,296
106534,11.576228848639467,0.0,1.790091412127358,1,USD,0,296
2429649,14.703257772021184,0.0,3.0440461338325413,1,USD,0,16260
52729,10.872939832524516,0.0,1.790091412127358,1,USD,0,0
273329,12.518435135376015,0.0,1.790091412127358,1,USD,0,1289
60620,11.012396646681605,0.0,1.790091412127358,1,USD,0,201
202306,12.217541624633323,0.0,1.790091412127358,1,USD,1,1203
12913,9.466067273186413,0.0,1.3837912309017721,1,USD,1,0
52370,10.86610828199289,0.0,1.790091412127358,1,USD,1,506
954857,13.769317917307774,0.0,3.0440461338325413,1,USD,1,5983
11120,9.316590491818841,0.0,3.0440461338325413,1,USD,0,0
278530,12.537284642747371,0.0,2.301584592660462,1,USD,1,1111
128952,11.767203275870198,0.0,2.0781907597781832,1,USD,0,1136
14169,9.558882332684727,0.0,1.9444805562457188,1,USD,0,0
273687,12.519744050443204,0.0,2.301584592660462,1,USD,0,1079
3358680,15.027058895343917,2.1972245773362196,2.771963526845863,1,USD,0,27899
43582,10.682422445046257,0.0,0.0,1,missing,0,0
32642,10.393385716619122,0.0,0.0,1,missing,0,0
114604,11.649246712328466,0.0,0.0,1,missing,0,253
23674,10.072174918054278,0.0,0.0,1,missing,0,0
30131,10.313343008945585,0.0,0.0,1,missing,0,0
22777,10.033550436834297,0.0,0.0,1,missing,0,0
20267,9.9167985665958,0.0,0.0,1,missing,0,0
17756,9.784535083358834,0.0,0.0,1,missing,0,0
18114,9.804495603329178,0.0,0.0,1,missing,0,0
7712,8.950662495933999,0.0,2.3969857684155302,1,USD,0,0
2690,7.897668150726906,0.0,2.3969857684155302,1,USD,0,0
9864,9.196748418456716,0.0,1.3837912309017721,1,USD,0,0
37663,10.536460010060003,0.0,3.0440461338325413,1,USD,0,175
16500,9.711176264112805,0.0,0.0,0,missing,0,0
8609,9.060679597421776,0.0,0.0,0,missing,0,0
7353,8.902999661861218,0.0,0.0,0,missing,0,0
129849,11.774135217090894,0.0,1.6074359097634274,1,USD,0,507
484961,13.091825816334595,2.302585092994046,3.0440461338325413,1,USD,0,4269
539304,13.198036552559923,2.1972245773362196,1.6074359097634274,1,USD,0,1637
0,0.0,0.0,2.196112848483529,1,USD,0,0
51653,10.85232291588601,0.0,2.196112848483529,1,USD,0,132
413580,12.93260866301672,0.0,2.3969857684155302,1,USD,0,780
1288268,14.068810014771794,0.6931471805599453,3.0440461338325413,1,USD,1,7624
3526192,15.075729376687017,1.791759469228055,3.433664571799657,1,USD,1,55512
107968,11.589599427866304,0.0,1.790091412127358,1,USD,0,242
46810,10.753873497022564,0.0,1.790091412127358,1,USD,0,0
9150595,16.02932957174243,2.772588722239781,3.433664571799657,1,USD,1,85750
5380,8.59062950948942,0.0,1.790091412127358,1,USD,0,0
2621015,14.779072586827162,1.6094379124341003,3.0440461338325413,1,USD,0,15545
39636,10.587518304449791,0.0,1.3837912309017721,1,USD,0,122
201230,12.212208780886023,0.0,1.790091412127358,1,USD,0,1533
19190,9.862196698118247,0.0,1.3837912309017721,1,USD,0,0
32642,10.393385716619122,0.0,1.3837912309017721,1,USD,0,118
272791,12.516464879008247,0.0,1.790091412127358,1,USD,0,1645
58289,10.973185831039595,0.0,1.790091412127358,1,USD,0,137
90930,11.417856256130069,0.0,2.771963526845863,1,USD,0,181
