DemoCount,DeveloperCount,DLCCount,Metacritic,MovieCount,PackageCount,RecommendationCount,PublisherCount,SteamSpyOwners,SteamSpyOwnersVariance,SteamSpyPlayersEstimate,SteamSpyPlayersVariance,AchievementCount,PlatformWindows,PlatformLinux,PlatformMac,CategorySinglePlayer,CategoryMultiplayer,CategoryCoop,CategoryMMO,CategoryInAppPurchase,CategoryIncludeSrcSDK,CategoryIncludeLevelEditor,CategoryVRSupport,GenreIsNonGame,GenreIsIndie,GenreIsAction,GenreIsAdventure,GenreIsCasual,GenreIsStrategy,GenreIsRPG,GenreIsSimulation,GenreIsEarlyAccess,GenreIsFreeToPlay,GenreIsSports,GenreIsRacing,GenreIsMassivelyMultiplayer,PriceInitial,PriceFinal,HasDemo,MultipleDevs,DLCCountCat,Metacritic_Bins,MovieCountCat,PackageCategory,PublisherCategory,HasDiscount,HasEnglish,LanguageCount,HasSupportURL,HasSupportEmail,IsComWebsite,IsHttpWebsite
1,1,0,77,0,1,389,1,119806,9058,57033,6250,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.99,4.99,1,0,0,3,0,1,<= 1,0,1,6,0,0,0,1
0,1,0,0,1,0,10079,1,1146403,27981,1146403,27981,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,<= 1,0,1,1,0,0,1,1
0,1,1,65,1,2,2399,1,942661,25380,416629,16885,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9.99,9.99,0,0,1,1,0,> 1,<= 1,0,1,8,1,0,1,1
1,1,0,72,4,1,2776,1,966156,25694,405509,16659,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,9.99,9.99,1,0,0,2,2,1,<= 1,0,1,5,0,0,1,1
1,1,0,0,0,2,656,1,319063,14778,141686,9850,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14.99,14.99,1,0,0,0,0,> 1,<= 1,0,1,1,0,0,0,0
0,1,0,81,1,1,509,1,173790,10909,93082,7984,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14.99,14.99,0,0,0,4,0,1,<= 1,0,1,1,0,1,0,1
0,1,0,0,0,2,1061,1,288035,14042,134871,9611,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.99,4.99,0,0,0,0,0,> 1,<= 1,0,1,1,0,0,0,0
0,1,0,0,0,2,2000,1,446580,17481,234051,12659,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.99,4.99,0,0,0,0,0,> 1,<= 1,0,1,1,0,0,0,0
0,1,0,0,0,2,389,1,374123,16002,116577,8935,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.99,4.99,0,0,0,0,0,> 1,<= 1,0,1,1,0,0,0,0
0,1,0,83,0,2,1279,1,443890,17428,194594,11543,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.99,4.99,0,0,0,4,0,> 1,<= 1,0,1,1,0,0,0,0
